Name,Compare,Pos,Age,Team,GP,Top Speed,22+ MPH,22+ MPH/G,20+ MPH,20+ MPH/G,18+ MPH,18+ MPH/G
MILES WOOD,,L,30.7,CBJ,37,24.82,23,0.62,111,3.00,268,7.24
QUINN HUGHES,,D,26.6,MIN,68,24.56,7,0.10,101,1.49,480,7.06
MARTIN NECAS,,R,27.4,COL,79,24.49,47,0.59,323,4.09,831,10.52
RASMUS KUPARI,,L,26.2,WPG,59,24.47,35,0.59,178,3.02,390,6.61
SETH JARVIS,,R,24.3,CAR,73,24.42,13,0.18,203,2.78,552,7.56
MATTIAS JANMARK,,L,33.5,EDM,80,24.36,16,0.20,147,1.84,370,4.63
STEVEN STAMKOS,,L,36.3,NSH,82,24.21,7,0.09,130,1.59,536,6.54
JACCOB SLAVIN,,D,32.1,CAR,80,24.19,4,0.05,53,0.66,280,3.50
MARTIN POSPISIL,,R,26.5,CGY,81,24.06,12,0.15,166,2.05,482,5.95
VINCENT TROCHECK,,C,32.9,NYR,82,23.99,4,0.05,138,1.68,676,8.24
CONNOR MCDAVID,,C,29.4,EDM,67,23.97,83,1.24,359,5.36,745,11.12
MORGAN BARRON,,C,27.5,WPG,74,23.92,17,0.23,151,2.04,430,5.81
OWEN TIPPETT,,L,27.3,PHI,77,23.89,38,0.49,253,3.29,589,7.65
NATHAN MACKINNON,,C,30.8,COL,79,23.83,83,1.05,464,5.87,762,9.65
LANE HUTSON,,D,22.3,MTL,82,23.77,6,0.07,101,1.23,523,6.38
BRAYDEN POINT,,C,30.2,T.B,77,23.76,31,0.40,391,5.08,882,11.45
JOSH NORRIS,,C,27.1,BUF,56,23.76,14,0.25,160,2.86,521,9.30
LEO CARLSSON,,C,21.4,ANA,76,23.75,9,0.12,154,2.03,746,9.82
ELIAS PETTERSSON,,D,22.3,VAN,28,23.72,1,0.04,17,0.61,118,4.21
ROOPE HINTZ,,C,29.5,DAL,76,23.7,30,0.39,333,4.38,719,9.46
JAKE MCCABE,,D,32.6,TOR,66,23.67,1,0.02,33,0.50,250,3.79
ERIK KARLSSON,,D,36.0,PIT,82,23.67,12,0.15,127,1.55,492,6.00
COLIN BLACKWELL,,R,33.2,DAL,63,23.66,1,0.02,65,1.03,316,5.02
TIM STUTZLE,,C,24.4,OTT,82,23.66,33,0.40,347,4.23,811,9.89
CALE MAKAR,,D,27.6,COL,80,23.63,27,0.34,179,2.24,488,6.10
JOSH ANDERSON,,R,32.1,MTL,81,23.63,29,0.36,290,3.58,750,9.26
JUSTIN BARRON,,D,24.5,NSH,62,23.58,1,0.02,86,1.39,333,5.37
LUKE HUGHES,,D,22.7,N.J,71,23.58,16,0.23,109,1.54,496,6.99
MITCH MARNER,,R,29.1,VGK,81,23.56,3,0.04,83,1.02,408,5.04
BO HORVAT,,C,31.2,NYI,81,23.53,19,0.23,303,3.74,756,9.33
JAKE SANDERSON,,D,23.9,OTT,80,23.53,19,0.24,180,2.25,578,7.23
BRANDON MONTOUR,,D,32.1,SEA,81,23.52,4,0.05,136,1.68,480,5.93
FREDERICK GAUDREAU,,C,33.1,SEA,82,23.51,4,0.05,101,1.23,549,6.70
JACK EICHEL,,C,29.6,VGK,77,23.5,28,0.36,320,4.16,837,10.87
ADAM EDSTROM,,C,25.6,NYR,51,23.49,11,0.22,124,2.43,314,6.16
PHILIP BROBERG,,D,24.9,STL,68,23.48,8,0.12,74,1.09,289,4.25
ADAM FANTILLI,,C,21.6,CBJ,82,23.46,25,0.30,239,2.91,780,9.51
PAUL COTTER,,L,26.5,N.J,79,23.44,9,0.11,165,2.09,566,7.16
CARTER VERHAEGHE,,L,30.8,FLA,81,23.42,7,0.09,226,2.79,779,9.62
BOBBY MCMANN,,L,30.0,SEA,74,23.4,25,0.34,177,2.39,537,7.26
QUINTON BYFIELD,,C,23.8,L.A,81,23.4,23,0.28,272,3.36,881,10.88
FRANK VATRANO,,R,32.2,ANA,81,23.39,16,0.20,158,1.95,513,6.33
CUTTER GAUTHIER,,R,22.4,ANA,82,23.37,18,0.22,182,2.22,687,8.38
MAX DOMI,,C,31.3,TOR,74,23.35,10,0.14,103,1.39,428,5.78
TYLER MYERS,,D,36.3,DAL,71,23.35,3,0.04,49,0.69,293,4.13
MARTIN FEHERVARY,,D,26.7,WSH,81,23.34,5,0.06,37,0.46,273,3.37
JACK HUGHES,,C,25.1,N.J,62,23.33,7,0.11,154,2.48,677,10.92
COLTON SISSONS,,R,32.6,VGK,72,23.32,3,0.04,94,1.31,489,6.79
NIKOLAJ EHLERS,,L,30.3,CAR,69,23.3,11,0.16,142,2.06,382,5.54
MICHAEL RASMUSSEN,,C,27.1,DET,77,23.29,4,0.05,120,1.56,469,6.09
ZACK OSTAPCHUK,,C,23.0,S.J,56,23.29,7,0.13,97,1.73,344,6.14
MICHAEL CARCONE,,R,30.0,UTA,53,23.29,15,0.28,116,2.19,301,5.68
