Name,Compare,Pos,Age,Team,GP,Top Speed,Average Speed,100+ MPH,100+ MPH/G,90-100 MPH,90-100 MPH/G,80-90 MPH,80-90 MPH/G,70-80 MPH,70-80 MPH/G
TYLER KLEVEN,,D,24.4,OTT,70,103.51,74.52,1,0.01,26,0.37,32,0.46,80,1.14
MORGAN GEEKIE,,R,27.9,BOS,81,103.03,61.68,2,0.02,25,0.31,69,0.85,51,0.63
RYAN PULOCK,,D,31.7,NYI,76,103.01,71.98,4,0.05,38,0.50,22,0.29,59,0.78
LOUIS CREVIER,,D,25.1,CHI,78,102.83,75.16,6,0.08,37,0.47,51,0.65,79,1.01
J.T. MILLER,,C,33.2,NYR,68,102.58,53.36,1,0.01,10,0.15,30,0.44,37,0.54
JAKE WALMAN,,D,30.3,EDM,53,101.97,71.94,1,0.02,28,0.53,35,0.66,55,1.04
BRANDON MONTOUR,,D,32.1,SEA,64,101.56,71,2,0.03,37,0.58,69,1.08,84,1.31
VICTOR HEDMAN,,D,35.5,T.B,33,101.42,74.13,1,0.03,21,0.64,28,0.85,33,1.00
CONOR TIMMINS,,D,27.7,BUF,39,101.12,70.36,1,0.03,3,0.08,14,0.36,46,1.18
MIKE MATHESON,,D,32.3,MTL,78,100.56,68.03,1,0.01,9,0.12,44,0.56,74,0.95
GUSTAV FORSLING,,D,30.0,FLA,80,100.41,69.65,1,0.01,19,0.24,54,0.68,69,0.86
RASMUS ANDERSSON,,D,29.6,VGK,81,100.26,67.81,1,0.01,20,0.25,91,1.12,82,1.01
YAN KUZNETSOV,,D,24.2,CGY,57,100.17,71.4,1,0.02,9,0.16,29,0.51,43,0.75
DARREN RADDYSH,,D,30.3,TOR,73,100.13,75.37,1,0.01,96,1.32,101,1.38,107,1.47
CUTTER GAUTHIER,,R,22.4,ANA,76,99.9,63.93,0,0.00,2,0.03,106,1.39,129,1.70
JOHN CARLSON,,D,36.4,ANA,71,99.77,66.83,0,0.00,34,0.48,43,0.61,65,0.92
JAKE SANDERSON,,D,23.9,OTT,67,99.72,72.28,0,0.00,24,0.36,106,1.58,124,1.85
NIKITA ZADOROV,,D,31.1,BOS,81,99.67,68.81,0,0.00,8,0.10,42,0.52,87,1.07
