,Overall,Even Strength,Power Play,Shorthanded,,,,,,,,,,,,,,,,,
Name,Compare,Pos,Age,Team,GP,Total Dist.,Distance/60,Top Game,Top Period,Total Dist.,Distance/60,Top Game,Top Period,Total Dist.,Distance/60,Top Game,Top Period,Total Dist.,Distance/60,Top Game,Top Period
CONNOR MCDAVID,,C,29.4,EDM,82,330.27,10.51,4.91,1.85,266.54,10.65,4.4,1.84,48.49,9.83,1.36,0.8,15.23,10.55,0.64,0.42
QUINN HUGHES,,D,26.6,MIN,74,307.46,8.99,5.09,1.92,261.81,9.05,4.5,1.79,44.59,8.68,1.41,0.94,1.05,7.64,0.25,0.25
IVAN PROVOROV,,D,29.4,CBJ,82,299.86,8.84,4.59,1.7,256.55,9.08,4.12,1.67,15.07,9.99,0.8,0.51,28.24,6.82,0.95,0.56
MORITZ SEIDER,,D,25.2,DET,82,299.85,8.55,4.66,1.71,248.05,8.69,3.87,1.48,37.52,8.58,1.33,0.81,14.27,6.59,0.45,0.29
MATTHEW SCHAEFER,,D,18.7,NYI,82,298.6,8.85,4.75,1.8,250.21,9.03,4.26,1.72,38.79,8.57,1.04,0.57,9.61,6.44,0.56,0.35
JACKSON LACOMBE,,D,25.4,ANA,82,295.81,8.93,4.48,1.64,239.71,9.05,4.11,1.56,40.4,9.18,1.45,0.86,15.7,6.94,1.04,0.46
LANE HUTSON,,D,22.3,MTL,82,295.21,9.09,4.41,1.8,250.23,9.16,4.25,1.6,40.62,9.01,1.52,0.88,4.36,6.74,0.36,0.24
MACKLIN CELEBRINI,,C,20.0,S.J,82,293.72,10.08,4.7,1.72,243.28,10.19,3.96,1.47,47.8,9.55,1.31,0.81,2.64,10.37,0.43,0.41
KYLE CONNOR,,L,29.5,WPG,82,292.98,9.97,4.42,1.88,238.33,10.05,3.85,1.53,41.64,9.81,1.56,0.9,13.01,9.09,0.6,0.29
FILIP HRONEK,,D,28.6,VAN,82,292.32,8.55,4.36,1.59,246.4,8.68,4.14,1.59,24.12,9.12,0.79,0.52,21.8,6.97,0.66,0.36
MARK SCHEIFELE,,C,33.2,WPG,82,290.63,9.89,4.43,1.64,246.87,10.01,3.93,1.55,39.93,9.24,1.48,0.88,3.83,9.27,0.36,0.26
MARTIN NECAS,,R,27.4,COL,78,289.77,10.37,5.09,1.74,242.2,10.71,4.51,1.65,47.35,8.91,1.41,0.77,0.23,9.83,0.18,0.18
ZACH WERENSKI,,D,28.9,CBJ,75,289.11,8.69,4.96,1.88,245.9,8.8,4.33,1.87,32.66,8.61,1.07,0.77,10.55,6.89,0.52,0.39
TRAVIS SANHEIM,,D,30.2,PHI,81,284.76,8.71,4.52,1.6,242.42,8.99,3.81,1.57,13.5,9.09,1.16,0.55,28.84,6.77,0.83,0.5
EVAN BOUCHARD,,D,26.6,EDM,82,284.06,8.42,4.48,1.72,223.82,8.51,3.55,1.44,42.76,8.62,1.2,0.7,17.49,7.1,0.72,0.44
BROCK FABER,,D,23.8,MIN,80,283.59,8.62,4.46,1.61,248.74,8.8,4.24,1.61,13.95,9.75,0.79,0.74,20.9,6.54,1.04,0.41
NATHAN MACKINNON,,C,30.8,COL,80,283.36,9.55,4.89,1.64,234.59,9.82,4.3,1.43,48.15,8.41,1.59,0.81,0.63,10.14,0.23,0.23
KIRILL KAPRIZOV,,L,29.1,MIN,78,282.53,9.81,4.43,1.68,236.33,10.03,4.23,1.55,45.63,8.81,1.46,0.8,0,0,0.24,0.24
JOSH MORRISSEY,,D,31.2,WPG,77,282.27,8.9,4.65,1.75,240.36,8.97,4.5,1.68,34.91,8.75,1.2,0.78,7,7.38,0.45,0.31
RASMUS DAHLIN,,D,26.1,BUF,77,277.27,8.93,4.31,1.76,230.53,9.02,3.87,1.45,38.96,8.75,1.04,0.65,7.78,7.57,0.43,0.27
MATHEW BARZAL,,C,29.0,NYI,81,274.34,9.84,4.32,2.05,233.51,10.08,3.93,2.05,40.49,8.65,1.16,0.64,0.34,8.84,0.03,0.03
CALE MAKAR,,D,27.6,COL,75,272.67,8.78,4.55,1.67,210.19,8.99,3.97,1.52,45.04,8.62,1.53,0.77,17.44,7.13,0.68,0.45
RASMUS ANDERSSON,,D,29.6,VGK,81,271.68,8.67,4.24,1.6,226.46,8.84,4.2,1.59,24.13,9,0.97,0.53,21.08,6.96,0.86,0.47
NICK SUZUKI,,C,26.8,MTL,82,271.61,9.55,4.19,1.59,222.76,9.83,3.7,1.42,40.57,8.38,1.53,0.78,8.28,8.59,0.67,0.33
MIKA ZIBANEJAD,,C,33.1,NYR,81,269.64,9.56,4.11,1.57,210.43,9.95,3.28,1.35,36.47,8.24,0.94,0.75,22.74,8.62,0.79,0.53
MIRO HEISKANEN,,D,26.9,DAL,77,269,8.23,4.62,1.68,204.43,8.42,3.45,1.24,38.63,8.72,1.06,0.73,25.94,6.51,0.79,0.51
QUINTON BYFIELD,,C,23.8,L.A,79,267.99,10.16,4.22,1.77,217.17,10.37,3.65,1.44,27.22,9.43,1.08,0.91,23.6,9.3,0.76,0.47
MATTY BENIERS,,C,23.6,SEA,82,267.67,10.16,4.05,1.58,233.26,10.61,3.8,1.45,28.38,7.82,0.94,0.48,6.03,8.15,0.36,0.27
PHILIP BROBERG,,D,24.9,STL,81,266.94,8.47,4.43,1.68,230.18,8.69,4.22,1.58,15.15,9.19,0.8,0.51,21.61,6.36,0.77,0.55
WYATT JOHNSTON,,C,23.1,DAL,82,266.03,9.67,4.31,1.49,217.54,9.88,3.52,1.49,42.15,8.77,1.08,0.73,6.34,9.29,0.52,0.27
RYAN O'REILLY,,C,35.3,NSH,81,265.77,9.65,3.92,1.55,208.75,9.92,3.48,1.42,34.7,8.96,0.98,0.63,22.32,8.53,0.84,0.64
