20 - Antropov, Nik
1373 - Backes, David
1431 - Backstrom, Nicklas
7607 - Baertschi, Sven
51 - Beauchemin, Francois
373 - Benn, Jamie
9870 - Bennett, Sam
67 - Bergeron, Patrice
4445 - Berglund, Patrik
2076 - Bernier, Jonathan
71 - Bertuzzi, Todd
1152 - Bieksa, Kevin
5754 - Blum, Eric
7507 - Bobrovsky, Sergei
4440 - Boedker, Mikkel
102 - Bouwmeester, Jay
104 - Boyle, Dan
481 - Bozak, Tyler
2279 - Brassard, Derick
112 - Brewer, Eric
113 - Briere, Daniel
123 - Brown, Dustin
5677 - Brunner, Damien
127 - Bryzgalov, Ilya
133 - Burns, Brent
1157 - Burrows, Alexandre
1215 - Byfuglien, Dustin
5498 - Bykov, Andrei
1360 - Callahan, Ryan
142 - Cammalleri, Mike
143 - Campbell, Brian
1414 - Carcillo, Daniel
1089 - Carter, Jeff
151 - Chara, Zdeno
2090 - Cogliano, Andrew
8779 - Conacher, Cory
6058 - Connolly, Brett
483 - Couture, Logan
6840 - Couturier, Sean
1082 - Crosby, Sidney
201 - Datsyuk, Pavel
220 - Doan, Shane
4452 - Doughty, Drew
9753 - Draisaitl, Leon
2024 - Dubinsky, Brandon
371 - Duchene, Matt
7633 - Dumba, Matt
1151 - Eager, Ben
6107 - Eberle, Jordan
1342 - Edler, Alexander
241 - Ehrhoff, Christian
8976 - Ekblad, Aaron
243 - Elias, Patrik
246 - Emery, Ray
3238 - Enstrom, Toby
248 - Erat, Martin
3242 - Eriksson, Loui
9026 - Faksa, Radek
1223 - Filppula, Valtteri
275 - Fleury, Marc-Andre
6738 - Fowler, Cam
1124 - Franzen, Johan
289 - Gaborik, Marian
290 - Gagne, Simon
2091 - Gagner, Sam
7832 - Galchenyuk, Alex
6248 - Gallagher, Brendan
8737 - Gardiner, Jake
298 - Gerber, Martin
1092 - Getzlaf, Ryan
302 - Gionta, Brian
1226 - Giordano, Mark
1400 - Girardi, Dan
5296 - Giroux, Claude
308 - Gomez, Scott
309 - Gonchar, Sergei
6932 - Gormley, Brandon
2201 - Grabner, Michael
1305 - Green, Mike
7198 - Gretzky, Wayne
9207 - Grigorenko, Mikhail
6721 - Hall, Taylor
335 - Hamhuis, Dan
338 - Handzus, Michal
340 - Hannan, Scott
344 - Hartnell, Scott
349 - Havlat, Martin
353 - Heatley, Dany
2553 - Hedman, Victor
363 - Hemsky, Ales
1473 - Hjalmarsson, Niklas
6325 - Hodgson, Cody
8113 - Holden, Josh
380 - Horcoff, Shawn
382 - Horton, Nathan
384 - Hossa, Marian
7076 - Huberdeau, Jonathan
386 - Hudler, Jiri
387 - Huet, Cristobal
398 - Iginla, Jarome
401 - Jackman, Barret
404 - Jagr, Jaromir
6018 - Johansen, Ryan
418 - Jokinen, Olli
9746 - Jones, Seth
5737 - Josi, Roman
425 - Kaberle, Tomas
6444 - Kadri, Nazem
364 - Kane, Evander
2086 - Kane, Patrick
89 - Karlsson, Erik
6725 - Kassian, Zack
1116 - Keith, Duncan
439 - Kesler, Ryan
1309 - Kessel, Phil
452 - Kobasew, Chuck
1136 - Koivu, Mikko
3624 - Kopitar, Anze
467 - Kovalchuk, Ilya
1398 - Krejci, David
476 - Kronwall, Niklas
484 - Lack, Eddie
1158 - Ladd, Andrew
6422 - Landeskog, Gabriel
513 - Lecavalier, Vincent
522 - Legwand, David
524 - Lehtonen, Kari
8322 - Lemieux, Mario
1298 - Letang, Kris
533 - Lilja, Andreas
2098 - Little, Bryan
2099 - Lucic, Milan
1190 - Lundqvist, Henrik
547 - Luongo, Roberto
549 - Lupul, Joffrey
9179 - MacKinnon, Nathan
564 - Malhotra, Manny
1325 - Malkin, Evgeni
5309 - Marchand, Brad
577 - Marleau, Patrick
646 - Martin, Matt
9857 - McDavid, Connor
8398 - McDonagh, Ryan
618 - Michalek, Milan
623 - Miller, Ryan
7797 - Monahan, Sean
645 - Morrow, Brenden
1977 - Moulson, Matt
5815 - Murray, Ryan
663 - Nash, Rick
2168 - Neal, James
6019 - Niederreiter, Nino
6083 - Nugent-Hopkins, Ryan
9268 - Nyquist, Gustav
695 - Ohlund, Mattias
2494 - Okposo, Kyle
376 - O'Reilly, Ryan
4444 - Oshie, T.J.
1083 - Ovechkin, Alexander
5355 - Pacioretty, Max
1407 - Parenteau, Pierre-Alexandre
1098 - Parise, Zach
1353 - Pavelski, Joe
1100 - Perry, Corey
1086 - Phaneuf, Dion
731 - Phillips, Chris
4446 - Pietrangelo, Alex
743 - Plekanec, Tomas
750 - Ponikarovsky, Alexei
2077 - Price, Carey
759 - Pronger, Chris
2305 - Quick, Jonathan
1327 - Radulov, Alexander
2244 - Rask, Tuukka
8849 - Reinhart, Sam
788 - Ribeiro, Mike
790 - Richards, Brad
1102 - Richards, Mike
1199 - Rinne, Pekka
812 - Roy, Derek
2682 - Roy, Patrick
818 - Ruutu, Tuomo
2078 - Ryan, Bobby
820 - Ryder, Michael
827 - Salvador, Bryce
842 - Savard, Marc
4447 - Schenn, Luke
1103 - Seabrook, Brent
857 - Sedin, Daniel
858 - Sedin, Henrik
6605 - Seguin, Tyler
1304 - Semin, Alexander
2089 - Setoguchi, Devin
7201 - Sewell, Ryan
867 - Sharp, Patrick
8443 - Shattenkirk, Kevin
4451 - Simmonds, Wayne
6419 - Skinner, Jeff
904 - Spezza, Jason
5507 - Sprunger, Julien
908 - Staal, Eric
1297 - Staal, Jordan
2084 - Staal, Marc
4430 - Stamkos, Steven
1292 - Stastny, Paul
1107 - Steen, Alexander
2176 - Stewart, Chris
1396 - Stortini, Zack
1203 - Streit, Mark
983 - Subban, P.K.
5536 - Suri, Reto
1104 - Suter, Ryan
5904 - Tavares, John
963 - Thornton, Joe
2087 - Toews, Jonathan
973 - Torres, Raffi
2652 - Turris, Kyle
1139 - Umberger, R.J.
389 - Van Riemsdyk, James
1084 - Vanek, Thomas
1005 - Vermette, Antoine
1985 - Versteeg, Kris
1299 - Vlasic, Marc-Edouard
4435 - Voracek, Jakub
1015 - Vyborny, David
1187 - Ward, Cam
1176 - Weber, Shea
1034 - Weiss, Stephen
5713 - Wieser, Marc
1045 - Williams, Jason
1046 - Williams, Justin
7836 - Yakupov, Nail
1315 - Yandle, Keith
1070 - Zetterberg, Henrik
8488 - Zibanejad, Mika
1080 - Zubrus, Dainius
